"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007498","mesoderm development","15/768","142/18860",0.105633802816901,2.5940801056338,3.92845011983852,0.000688028471378877,0.0185348183317145,0.0158060462890443,"ITGA8/TP63/WLS/INHBA/ETS2/IKZF3/SIX2/OVOL1/CITED2/EPHA2/KLF4/DKK1/NOMO1/SECTM1/YAP1",15
"GO:0030879","mammary gland development","15/768","142/18860",0.105633802816901,2.5940801056338,3.92845011983852,0.000688028471378877,0.0185348183317145,0.0158060462890443,"CDKN2A/IQGAP3/WNT4/AREG/IGF1/FGF10/ESR1/IGFBP5/PGR/CAV1/EPHA2/SOSTDC1/OAS2/ERBB4/GLI3",15
"GO:0002065","columnar/cuboidal epithelial cell differentiation","13/768","113/18860",0.115044247787611,2.82517514749263,4.00935516336639,0.00068918414652615,0.0185348183317145,0.0158060462890443,"SOX11/TP63/WNT4/NKX3-2/PGR/CCNO/DLG5/NKX2-2/CDH2/CAV1/SOX4/YAP1/FOXJ1",13
"GO:0031055","chromatin remodeling at centromere","4/768","11/18860",0.363636363636364,8.92992424242424,5.42023198235267,0.000715776046738932,0.0189326697197869,0.0161453243625323,"CENPN/HJURP/CENPA/CENPI",4
"GO:0034080","CENP-A containing chromatin assembly","4/768","11/18860",0.363636363636364,8.92992424242424,5.42023198235267,0.000715776046738932,0.0189326697197869,0.0161453243625323,"CENPN/HJURP/CENPA/CENPI",4
"GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint","4/768","11/18860",0.363636363636364,8.92992424242424,5.42023198235267,0.000715776046738932,0.0189326697197869,0.0161453243625323,"BIRC5/CDCA8/AURKB/INCENP",4
"GO:0140694","membraneless organelle assembly","33/768","446/18860",0.0739910313901345,1.81701933856502,3.59767846794702,0.000732860294343164,0.0192786309123934,0.0164403517281469,"MYBL2/BIRC5/PLK1/FLNC/UHRF1/CDC20/LMOD1/PGM5/LDB3/STIL/STARD9/CDCA8/TPX2/CENPF/MYL9/PDGFRA/AURKB/AURKA/CHEK2/ASPM/TNNT1/BOP1/INCENP/CCNB2/NEK2/SAC3D1/CENPA/SBDS/DLGAP5/NKX2-5/PRC1/TPM1/KIF4A",33
"GO:0030308","negative regulation of cell growth","17/768","174/18860",0.0977011494252874,2.39927562260536,3.82046627907465,0.000767561982947474,0.0200817575321149,0.0171252387499722,"FHL1/SLIT2/CDKN2A/SEMA3G/SPP1/SLIT3/TRIM46/SEMA5A/INHBA/MEG3/HYAL1/BST2/NPR1/SPART/RERG/PSRC1/ACVRL1",17
"GO:0051302","regulation of cell division","18/768","190/18860",0.0947368421052632,2.32648026315789,3.78618721534532,0.000783295978753269,0.020240903720608,0.0172609547832793,"BIRC5/PLK1/TP63/KIF18B/PAX6/CDCA8/CDC6/SVIL/AURKB/AURKA/GAREM1/ASPM/KIF14/HDGF/ECT2/INCENP/PRC1/OSM",18
"GO:0046683","response to organophosphorus","14/768","129/18860",0.108527131782946,2.66513242894057,3.90984735946323,0.000784848115535726,0.020240903720608,0.0172609547832793,"PER1/AREG/IGFBP5/VGF/RYR3/RAPGEF3/AKAP6/LPAR1/DUOX1/FOSB/PDE2A/STAT1/GPD1/DUSP1",14
"GO:0055001","muscle cell development","19/768","206/18860",0.0922330097087379,2.26499292071197,3.76125146391311,0.000786258619807581,0.020240903720608,0.0172609547832793,"CCNB1/FLNC/LMOD1/PGM5/IGF1/LDB3/ADRA1A/MEIS1/MYL9/PDGFRA/MYORG/PRKG1/AKAP6/TNNT1/TBX5/COL14A1/ANK2/NKX2-5/TPM1",19
"GO:0018149","peptide cross-linking","5/768","19/18860",0.263157894736842,6.4624451754386,4.90804535732014,0.000797898016475284,0.0204312821878299,0.017423304951028,"FLG/KRT10/LORICRIN/TGM1/CSTA",5
"GO:0061180","mammary gland epithelium development","10/768","74/18860",0.135135135135135,3.31855292792793,4.11729861345853,0.000803783128968242,0.0204730792743551,0.0174589484988925,"CDKN2A/IQGAP3/WNT4/AREG/FGF10/ESR1/PGR/EPHA2/SOSTDC1/ERBB4",10
"GO:0007389","pattern specification process","35/768","486/18860",0.0720164609053498,1.76852923525377,3.53649723026555,0.000831095983693801,0.0210573477131682,0.0179571985396445,"TP63/DAAM2/XRCC2/ALDH1A2/NKX3-2/FGF10/HOXC11/PAX6/STIL/ZBTB16/EN1/MEIS1/WLS/AURKA/ETS2/MEIS2/OSR2/NKX2-2/SIX2/CITED2/TBX5/RELN/ZIC1/SOSTDC1/DKK1/NOMO1/MEOX1/HOXC10/ACVRL1/DNAH11/HOXC9/NKX2-5/ERBB4/GLI3/FOXJ1",35
"GO:0001706","endoderm formation","9/768","62/18860",0.145161290322581,3.56476814516129,4.1675880481524,0.000860574442485047,0.0216772551059115,0.0184858406212264,"ITGA7/COL11A1/SOX7/INHBA/COL7A1/COL8A1/DKK1/DUSP1/MMP9",9
"GO:0048562","embryonic organ morphogenesis","25/768","308/18860",0.0811688311688312,1.99328666125541,3.62118943466875,0.000864568545977359,0.0216772551059115,0.0184858406212264,"SOX11/ITGA8/NKX3-2/FGF10/HOXC11/COL11A1/PAX6/STIL/FBN2/LHFPL5/CTHRC1/HYAL1/PDGFRA/OSR2/SIX2/CITED2/EPHA2/ZIC1/MFAP2/PAX5/HOXC9/NKX2-5/CHST11/GLI3/YAP1",25
"GO:0030038","contractile actin filament bundle assembly","13/768","116/18860",0.112068965517241,2.75211027298851,3.89992220198434,0.000883678418055512,0.0219279788892744,0.0186996518199484,"SORBS1/MYOC/WNT4/PIK3R1/ARHGAP6/MYL9/RAPGEF3/LPAR1/RHPN1/DLC1/STMN1/ARHGEF15/TPM1",13
"GO:0043149","stress fiber assembly","13/768","116/18860",0.112068965517241,2.75211027298851,3.89992220198434,0.000883678418055512,0.0219279788892744,0.0186996518199484,"SORBS1/MYOC/WNT4/PIK3R1/ARHGAP6/MYL9/RAPGEF3/LPAR1/RHPN1/DLC1/STMN1/ARHGEF15/TPM1",13
"GO:0022404","molting cycle process","12/768","102/18860",0.117647058823529,2.8890931372549,3.94145743787551,0.000896215504056914,0.0220121501863775,0.0187714310731577,"DSC1/TP63/EGFR/FGF10/SPINK5/IGFBP5/INHBA/FOXN1/LDB2/SOSTDC1/DKK1/KRT17",12
"GO:0022405","hair cycle process","12/768","102/18860",0.117647058823529,2.8890931372549,3.94145743787551,0.000896215504056914,0.0220121501863775,0.0187714310731577,"DSC1/TP63/EGFR/FGF10/SPINK5/IGFBP5/INHBA/FOXN1/LDB2/SOSTDC1/DKK1/KRT17",12
"GO:0003015","heart process","23/768","275/18860",0.0836363636363636,2.05388257575758,3.62722034843437,0.000916709626057657,0.0223297096004085,0.0190422380866318,"DES/ADM2/SCN7A/ATP1A2/HSPB7/CACNA1G/GSTM2/ADRA1A/FXYD1/HOPX/JPH2/POPDC2/TBX5/CAV1/ANK2/CACNB2/SLC4A3/TRPC1/PLN/SCN4B/NKX2-5/TPM1/YAP1",23
"GO:0050868","negative regulation of T cell activation","15/768","146/18860",0.102739726027397,2.52300941780822,3.80620657324553,0.000918421790793703,0.0223297096004085,0.0190422380866318,"CDKN2A/IL4I1/ILDR2/IL20RB/DLG5/CD37/HAVCR2/PTPN6/LAG3/LAPTM5/PLA2G2D/GLI3/SPN/CSK/FOXJ1",15
