"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
45.5478693673324,5.05547623047116,0.608777316377961,8.30431110763078,1.00400254977191e-16,2.17426792178604e-12,"SOX11"
57.2441831461237,-3.05274559535052,0.390363556397568,-7.82026279174851,5.2713175234663e-15,4.48881205796212e-11,"DIO3OS"
550.400446641989,-2.79001725808749,0.357720286485093,-7.79943817417176,6.21833957050534e-15,4.48881205796212e-11,"SORBS1"
67.1405513923497,-6.07376023653568,0.784952669847793,-7.73774071972189,1.01198957080967e-14,5.47891153636353e-11,"CERS3"
79.2906803630247,-5.22786713509238,0.695009868240999,-7.52200418149974,5.39428587485457e-14,2.33637309811701e-10,"CYP4F22"
57.4688924903186,5.42472444035591,0.729133892038997,7.43995650124816,1.00718459540379e-13,3.63526493301074e-10,"CXCL9"
203.421351668297,2.88521986752021,0.391203493004399,7.37524055667818,1.64048570284042e-13,4.67182363385462e-10,"CELSR3"
61.584621470393,3.5172774242309,0.477340906990893,7.36848104304207,1.72583067375494e-13,4.67182363385462e-10,"MYBL2"
67.786071490163,-4.13088410471037,0.564028951238721,-7.32388664737531,2.40890184792966e-13,5.79635315764053e-10,"PHYHIP"
900.812082260826,-3.99959951354047,0.551928655154512,-7.24658789897543,4.27401846680938e-13,9.25581439172239e-10,"SYNPO2"
62.1641841887757,-5.8309921138023,0.806147167476181,-7.23316082850913,4.71880012511501e-13,9.29003050086278e-10,"CIDEA"
67.1074898832274,3.70368395318139,0.51365726189422,7.21041875184101,5.57800713526394e-13,1.00664435434397e-09,"TUBB3"
1376.47921185084,-8.17894620685168,1.14984145332032,-7.11310779693489,1.13458591044769e-12,1.88305265160184e-09,"DES"
30.7896472005974,-5.36386489294057,0.755113491725998,-7.10338902921749,1.21734101969088e-12,1.88305265160184e-09,"LOC124901453"
55.6116169910993,-3.63123256105764,0.514939799347918,-7.05176132366534,1.76667054615798e-12,2.55060115650648e-09,"SLC22A3"
129.24876935143,3.09297937932174,0.441692940109045,7.00255561829481,2.51335056532591e-12,3.40181999016862e-09,"TK1"
102.315524454079,-3.1762965503245,0.456011799151759,-6.96538237877358,3.27512957512151e-12,4.17212976934303e-09,"COL4A6"
169.058329163872,-3.20001555696069,0.460377081602435,-6.95085764439532,3.6307210355995e-12,4.36816081927459e-09,"HSPB6"
51.8960777995938,-4.77645678598499,0.709519514520053,-6.73195971109544,1.67392998741412e-11,1.81653087896766e-08,"MASP1"
