"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"PKHD1L1",-3.50882346724052,6.28196178391389e-06,TRUE,18,"hsa-miR-106b-5p","Downregulated"
"CLSPN",3.19517544852886,6.28196178391389e-06,TRUE,181,"hsa-let-7b-5p","Upregulated"
"PRR11",2.99797172281507,6.28196178391389e-06,TRUE,170,"hsa-let-7a-5p","Upregulated"
"COL17A1",-3.31062690043159,6.30830653800022e-06,TRUE,21,"hsa-let-7d-5p","Downregulated"
"CYP4B1",-3.21902192129293,6.30830653800022e-06,TRUE,4,"hsa-miR-203a-3p","Downregulated"
"PPP1R12B",-2.25092217576136,6.30830653800022e-06,TRUE,191,"hsa-let-7a-5p","Downregulated"
"FLNC",-3.56061120318102,6.7588928631875e-06,TRUE,199,"hsa-let-7a-5p","Downregulated"
"UHRF1",2.4573130349974,7.7341431438365e-06,TRUE,83,"hsa-let-7a-5p","Upregulated"
"CDCA5",3.13989372009955,7.79000379894175e-06,TRUE,93,"hsa-let-7a-5p","Upregulated"
"VSTM2L",4.76562358944911,9.10268705198764e-06,TRUE,60,"hsa-let-7b-5p","Upregulated"
"EGFR",-2.67089528376911,9.10268705198764e-06,TRUE,226,"hsa-let-7a-2-3p","Downregulated"
"LMOD1",-2.89736936410798,1.00058241926792e-05,TRUE,13,"hsa-miR-105-3p","Downregulated"
"SH3RF2",-2.89192738699612,1.00058241926792e-05,TRUE,70,"hsa-let-7a-5p","Downregulated"
"TROAP",2.79337931269162,1.00058241926792e-05,TRUE,92,"hsa-let-7b-5p","Upregulated"
"CDHR1",-6.17766533200317,1.07745883146191e-05,TRUE,33,"hsa-let-7e-5p","Downregulated"
"SEMA3G",-1.62819668478628,1.08024630593581e-05,TRUE,51,"hsa-let-7a-5p","Downregulated"
"CCBE1",-3.6471279441998,1.30179227028411e-05,TRUE,85,"hsa-let-7a-5p","Downregulated"
"WNT4",-2.33244102175878,1.3707732939529e-05,TRUE,49,"hsa-miR-1-3p","Downregulated"
"GSDMA",-6.82027942959747,1.49311979830885e-05,TRUE,13,"hsa-miR-106b-3p","Downregulated"
"CILP2",2.64180039839571,1.52794222407291e-05,TRUE,26,"hsa-let-7a-5p","Upregulated"
"PER1",-2.25384884149577,1.53504749038789e-05,TRUE,143,"hsa-let-7a-5p","Downregulated"
"KIF18B",3.34477254602048,1.53696682216221e-05,TRUE,162,"hsa-let-7a-5p","Upregulated"
"INMT",-2.54241683485249,1.61931322258788e-05,TRUE,68,"hsa-miR-1226-3p","Downregulated"
