Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
A1BG	36	49	0	66	23	36	83	63	36	33	95	77
A1BG-AS1	10	15	0	8	8	19	28	12	9	11	27	20
A1CF	0	0	0	3	7	8	2	0	1	2	0	3
A2M	2506	128	6	3520	975	5213	3922	1429	1086	3192	2026	4835
A2M-AS1	20	2	0	21	23	18	17	9	12	20	20	32
A2ML1	4	4	0	102	491	24	18	416	539	224	293	11
A2MP1	7	0	0	5	2	3	2	11	7	1	4	4
A3GALT2	6	0	0	23	43	7	8	0	9	3	7	4
A4GALT	57	34	0	112	213	84	132	127	302	197	260	169
A4GNT	0	0	0	2	4	2	1	2	1	7	0	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	122	126	0	121	142	100	199	181	109	192	223	230
AACS	1127	583	0	114	162	150	393	583	341	212	829	285
AACSP1	2	0	0	0	4	5	0	5	1	0	6	0
AADAC	0	0	0	12	4	3	26	15	13	3	7	5
AADACL2	0	0	0	1	0	4	9	14	2	4	4	8
AADACL2-AS1	4	0	0	20	1	4	56	5	11	5	11	22
AADACL3	0	0	0	0	1	0	0	543	522	0	1044	0
AADACL4	0	0	0	0	0	0	1	0	0	0	1	0
AADACP1	1	0	0	2	0	0	9	0	0	0	2	3
AADAT	70	2	0	10	30	23	41	10	10	19	13	9
AAGAB	130	20	0	42	134	78	87	57	47	99	120	92
AAK1	647	223	3	424	508	476	529	347	376	494	368	533
AAMDC	23	24	1	44	32	55	85	28	28	55	70	67
AAMP	360	190	2	495	236	277	286	323	284	279	466	391
AANAT	8	1	0	10	28	11	10	10	8	5	8	10
AAR2	147	45	0	62	86	159	105	86	103	133	107	122
AARD	0	2	0	203	6	78	24	12	9	5	20	17
AARS1	331	158	3	263	510	729	419	196	232	412	299	446
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	119	72	0	172	167	292	239	259	305	272	423	293
AARSD1	0	2	0	0	0	0	1	0	0	0	1	0
AARSD1P1	7	1	0	5	0	5	15	4	16	12	13	26
AASDH	35	8	0	15	28	42	107	24	23	36	54	57
AASDHPPT	43	9	0	17	29	44	73	22	34	57	26	31
AASS	56	2	0	56	87	95	301	119	105	174	152	328
AATBC	55	65	0	75	126	96	85	680	571	107	821	120
AATF	0	0	0	0	0	0	0	0	0	0	3	0
AATK	60	26	0	51	115	87	80	282	527	155	273	110
ABALON	15	7	1	3	24	10	16	8	5	4	15	17
ABAT	259	37	0	150	37	82	147	98	108	82	124	209
ABCA1	697	69	1	340	611	883	1058	499	582	403	468	1218
ABCA10	27	2	0	47	9	104	556	110	124	160	199	565
ABCA11P	11	3	0	13	8	24	26	24	19	21	39	46
ABCA12	672	46	0	4	27	25	88	240	328	292	187	48
ABCA13	1	1	0	9	3	214	9	31	3	4	11	17
ABCA17P	70	27	0	4	20	18	14	2	7	10	11	5
ABCA2	1045	433	2	1086	817	1121	930	936	999	849	1525	1258
ABCA3	488	790	2	187	303	460	338	286	232	210	435	273
ABCA3P1	0	0	0	0	3	0	1	0	0	0	0	0
ABCA4	5	1	0	2	37	17	39	20	26	4	48	23
ABCA5	68	20	0	40	89	259	524	127	70	147	175	235
ABCA6	52	4	0	83	52	152	911	198	138	222	164	998
ABCA7	363	473	7	538	820	306	212	483	489	272	583	579
ABCA8	27	0	0	34	20	64	242	91	140	217	124	470
ABCA9	20	3	0	70	15	81	481	144	167	147	154	640
ABCA9-AS1	1	0	0	0	0	3	4	0	11	1	6	5
ABCB1	11	0	0	24	17	23	106	34	16	58	51	35
ABCB10	116	50	1	170	134	104	88	100	70	132	123	113
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	1	1	0	0	0	1	0	0	1	0	2	1
ABCB4	42	38	0	8	54	39	62	22	20	40	36	35
ABCB5	5	0	0	3	2	35	148	0	3	3	1	13
ABCB6	131	63	0	187	91	190	171	137	75	160	258	139
ABCB7	44	18	0	33	36	53	88	71	88	85	66	87
ABCB8	234	176	0	181	366	150	159	293	262	239	442	231
ABCB9	234	78	0	122	78	91	107	84	51	52	109	140
ABCC1	90	46	0	64	66	122	61	88	62	59	86	84
ABCC10	333	161	9	368	468	410	315	357	366	363	564	414
ABCC11	4668	3156	0	8	5	41	506	33	11	8	122	387
ABCC12	358	447	0	0	3	0	29	0	1	0	1	36
ABCC13	0	0	0	0	0	1	0	0	3	0	0	0
ABCC2	58	24	0	10	5	18	45	14	10	6	23	24
ABCC3	259	91	0	116	167	189	459	517	455	334	593	842
ABCC4	117	27	1	65	117	120	79	82	82	51	65	51
ABCC5	248	53	0	323	406	470	412	286	200	363	334	471
ABCC5-AS1	1	0	0	0	3	0	6	0	2	5	0	2
ABCC6	23	38	0	2	9	1	9	8	2	1	12	13
ABCC6P1	4	21	0	0	4	0	0	0	1	2	0	5
ABCC6P2	3	1	0	0	1	0	0	0	2	0	1	0
ABCC8	18	1	0	7	11	42	63	63	15	25	303	86
ABCC9	63	3	0	18	35	95	139	62	52	141	88	192
ABCD1	290	92	1	288	198	206	80	103	89	148	131	112
ABCD1P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P2	0	0	0	0	0	0	0	0	0	1	0	0
ABCD1P3	0	0	0	1	0	0	0	0	0	0	0	0
ABCD1P4	1	0	0	0	0	0	0	0	0	0	1	0
ABCD1P5	0	1	0	5	0	0	1	0	0	0	1	0
ABCD2	13	0	0	12	17	7	18	7	3	39	11	28
ABCD3	221	76	0	156	199	332	534	330	300	374	495	398
ABCD4	164	51	2	103	121	183	306	181	245	209	328	350
ABCE1	91	1	0	46	70	69	108	76	48	87	41	85
ABCF1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1-DT	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	26	29	0	26	34	40	43	46	51	45	49	54
ABCF2-H2BK1	1	0	0	0	3	1	2	3	6	5	0	3
ABCF2P1	1	0	0	0	3	2	0	0	0	2	2	0
ABCF2P2	1	0	0	2	0	1	0	0	0	0	0	3
ABCF3	199	89	0	246	239	184	273	147	199	228	223	248
ABCG1	186	67	0	183	164	226	182	122	162	58	121	219
ABCG2	5	1	0	9	2	15	59	20	8	42	30	53
ABCG4	3	0	0	1	5	3	3	25	28	5	30	0
ABCG5	3	2	0	7	2	2	12	8	4	3	8	3
ABCG8	2	1	0	5	2	3	6	5	1	2	1	2
ABHD1	7	1	0	13	16	24	20	11	33	11	24	17
ABHD10	45	9	0	41	70	63	91	15	24	80	49	55
ABHD11	386	136	0	72	55	209	140	85	107	70	181	179
ABHD11-AS1	23	15	0	7	14	27	12	8	7	0	9	15
ABHD12	289	109	3	293	422	365	230	262	285	267	367	269
ABHD12B	4	2	0	1	10	2	25	38	48	25	54	10
ABHD13	31	14	0	26	33	69	42	18	37	49	50	41
ABHD14A	31	1	0	13	38	21	22	18	9	30	34	34
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	335	116	2	165	103	126	265	270	194	166	366	287
ABHD15	96	54	0	143	70	56	64	42	48	71	84	66
ABHD16A	0	0	0	0	1	0	1	0	2	0	1	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	424	480	1	567	430	446	305	572	772	479	877	431
ABHD17AP1	35	37	0	57	30	38	27	75	45	42	91	56
ABHD17AP3	25	21	0	29	44	39	12	19	5	17	36	15
ABHD17AP4	3	1	0	7	1	4	0	0	3	0	4	0
ABHD17AP5	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	16	17	0	36	12	18	13	11	0	7	30	8
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	29	81	31	100	44	47	74	40	60	55	72	63
ABHD17C	74	50	0	180	56	78	52	43	97	56	91	43
ABHD18	57	94	0	81	60	41	114	47	61	65	87	95
ABHD2	436	75	6	349	932	661	621	455	534	581	591	628
ABHD3	57	15	0	57	80	71	75	46	13	37	54	62
ABHD4	134	42	0	66	117	100	151	120	87	147	139	184
ABHD5	110	17	0	23	50	131	109	176	168	85	309	117
ABHD6	114	22	0	5	15	48	42	81	65	73	115	31
ABHD8	48	30	0	83	57	92	52	78	63	55	80	70
ABI1	150	15	0	110	338	190	209	224	182	212	151	207
ABI1P1	0	0	0	5	4	6	9	3	5	2	4	6
ABI2	178	73	1	190	184	265	538	236	179	357	253	333
ABI3	115	55	0	93	84	65	50	35	38	68	105	89
ABI3BP	127	1	1	135	90	188	317	237	407	1384	181	740
ABITRAM	24	3	0	7	36	24	47	33	17	32	16	42
ABITRAMP1	2	0	0	0	0	1	0	0	0	0	0	0
ABL1	621	264	2	535	465	841	859	901	838	1113	1269	1240
ABL2	452	98	0	247	443	564	316	297	223	379	315	635
ABLIM1	273	71	1	295	289	548	1110	1313	1418	1107	1125	1490
ABLIM2	22	6	1	28	139	37	56	77	68	65	102	87
ABLIM3	261	35	0	31	56	91	270	104	137	261	168	415
ABO	15	9	0	17	110	14	81	71	98	67	69	174
ABR	96	45	27	118	45	46	61	65	73	81	59	59
ABR-AS1	0	0	0	0	0	0	0	0	0	1	0	0
ABRA	1	0	0	3	2	7	3	1	2	5	2	0
ABRACL	38	13	0	18	32	30	16	20	10	16	26	21
ABRAXAS1	15	17	0	18	3	18	52	10	27	25	17	24
ABRAXAS2	29	6	0	25	28	29	48	30	31	38	28	25
ABT1	99	31	0	63	75	140	75	126	110	92	141	94
ABT1P1	0	3	0	1	4	0	2	1	0	2	6	5
ABTB1	136	72	0	163	174	208	401	220	229	158	317	427
ABTB2	103	66	0	55	96	490	90	173	182	152	381	92
ACAA1	397	148	0	112	123	214	200	216	289	165	470	213
ACAA2	58	7	0	30	51	145	119	118	65	86	189	130
ACAA2P1	5	0	0	0	2	4	6	0	0	1	4	5
ACACA	19	6	0	12	12	9	38	16	25	14	34	8
ACACB	236	88	0	293	423	632	2058	843	674	636	1108	2341
ACAD10	205	80	0	188	166	226	282	180	175	161	253	341
ACAD11	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8	150	124	1	54	75	101	160	251	141	87	281	166
ACAD9	175	45	2	217	321	303	302	419	347	247	493	334
ACAD9-DT	18	7	0	19	85	28	24	13	11	15	24	16
ACADL	0	0	0	0	2	2	14	4	4	2	5	18
ACADM	47	0	0	42	46	84	74	70	38	60	103	71
ACADS	39	38	0	60	37	70	121	112	118	61	190	128
ACADSB	52	29	0	64	6	103	264	94	84	97	108	318
ACADVL	693	308	1	769	935	772	1535	1791	1279	1391	1890	2465
ACAN	39	10	0	89	30	99	10	19	8	16	24	26
ACAP1	153	31	1	184	189	75	154	182	262	171	309	240
ACAP2	204	59	0	206	183	174	300	206	218	332	257	216
ACAP3	633	485	7	409	579	535	430	971	1090	839	1358	565
ACAT1	79	7	0	30	50	41	92	65	70	100	69	92
ACAT2	60	6	0	25	43	48	35	71	69	40	168	22
ACBD3	63	71	0	88	138	89	68	39	70	113	72	66
ACBD3-AS1	1	0	0	4	8	1	1	3	10	2	2	1
ACBD4	57	51	2	90	97	69	179	116	119	160	201	221
ACBD5	65	71	2	58	61	68	105	57	65	84	68	78
ACBD6	85	75	0	111	168	170	210	122	78	117	139	196
ACBD7	0	5	0	15	10	9	9	0	5	4	1	4
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	285	76	0	133	183	157	525	359	381	299	606	669
ACCSL	2	0	0	0	0	0	4	2	0	2	0	2
ACD	53	40	0	111	63	84	109	99	105	100	141	139
ACE	289	266	0	262	174	274	147	127	149	219	190	285
ACE2	1049	21	0	2	5	0	6	0	0	3	5	2
ACE3P	0	0	0	1	0	0	1	0	0	1	1	0
ACER1	0	7	0	1	3	2	7	59	78	42	134	1
ACER2	13	12	0	14	16	17	86	50	25	33	44	60
ACER2P1	0	0	0	0	0	0	2	0	0	0	2	1
ACER3	45	15	0	25	47	96	73	58	62	93	66	69
ACHE	13	3	0	23	25	12	10	23	67	20	51	7
ACIN1	716	235	1	498	521	565	932	662	660	696	813	1121
ACKR1	78	3	1	80	32	125	128	246	299	308	384	304
ACKR2	591	40	0	9	9	10	25	22	43	30	20	48
ACKR3	99	13	0	12	98	120	82	152	205	298	151	189
ACKR4	7	0	0	2	5	21	11	17	11	21	11	22
ACKR4P1	0	0	0	0	0	0	5	0	2	1	5	3
ACLY	849	282	0	753	842	573	464	810	602	674	1005	717
ACMSD	0	0	0	5	7	9	16	2	10	4	9	7
ACNATP	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	153	10	0	119	187	130	235	289	193	217	331	288
ACO2	311	68	1	217	280	472	282	312	335	389	449	359
ACOD1	1	0	0	0	2	0	0	0	0	0	0	0
ACOT1	48	0	0	1	32	8	19	12	95	13	348	17
ACOT11	52	23	1	35	321	113	121	101	151	107	221	135
ACOT12	5	0	0	0	0	0	2	0	4	2	4	0
ACOT13	43	14	0	27	54	43	100	50	27	48	57	45
ACOT2	103	76	0	57	61	80	68	140	100	95	230	112
ACOT4	26	2	0	2	15	4	9	12	5	3	20	15
ACOT6	3	1	0	1	2	1	2	1	4	4	3	3
ACOT7	73	14	0	96	99	81	50	77	100	90	117	53
ACOT8	68	28	5	49	79	117	71	84	57	50	101	79
ACOT9	107	58	12	48	87	109	109	88	82	125	118	129
ACOX1	430	377	0	238	434	396	446	383	313	381	387	392
ACOX2	284	47	0	27	13	29	125	152	126	86	225	132
ACOX3	479	529	6	259	263	441	1154	888	809	553	1192	900
ACOXL	13	2	0	8	53	16	23	4	19	3	13	13
ACOXL-AS1	0	0	0	0	1	1	1	0	0	0	0	3
ACP1	119	17	0	49	123	121	94	52	57	96	101	104
ACP2	251	127	1	142	325	142	132	66	99	104	139	160
ACP3	22	10	1	1	12	5	7	39	62	63	62	13
ACP4	5	3	0	14	26	115	16	43	48	18	31	19
ACP5	340	133	0	146	153	308	148	151	290	228	301	217
ACP6	114	48	0	108	152	116	227	118	129	115	203	180
ACP7	2	0	0	0	5	2	1	19	102	10	76	0
ACR	0	1	0	8	1	9	4	4	10	6	9	8
ACRBP	11	11	0	25	19	21	17	11	13	4	9	23
ACRP1	2	0	0	0	8	0	1	0	4	2	5	0
ACRV1	0	0	0	2	1	6	2	0	0	1	1	1
ACSBG1	5	28	1	4	2	1	31	3721	2212	87	4929	15
ACSBG2	7	0	0	2	20	14	18	13	5	13	8	10
ACSF2	332	53	3	61	103	104	316	181	180	119	338	367
ACSF3	217	260	3	256	292	509	347	380	333	376	487	416
ACSL1	887	114	1	165	287	273	446	1395	978	421	1921	591
ACSL3	670	431	0	85	151	243	483	150	134	212	187	272
ACSL3-AS1	35	82	0	0	4	16	18	15	4	13	7	10
ACSL4	91	0	0	46	70	128	128	81	36	137	99	109
ACSL5	75	10	0	33	74	38	52	51	44	53	64	78
ACSL6	4	2	0	7	7	56	14	3	9	9	19	8
ACSL6-AS1	0	0	0	1	0	1	0	1	0	0	0	0
ACSM1	31	20	0	7	2	9	335	19	6	28	28	84
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	2
ACSM3	17	5	0	4	3	9	49	17	10	22	46	59
ACSM4	0	0	0	0	0	3	2	0	0	0	0	3
ACSM5	11	0	0	3	1	10	9	20	14	18	25	42
ACSM5P1	1	0	0	0	0	0	0	0	0	0	0	0
ACSM6	7	2	0	8	7	13	11	88	51	19	72	22
ACSS1	109	54	0	276	267	281	296	220	180	181	288	381
ACSS2	279	90	0	102	191	234	285	672	726	244	1019	338
ACSS3	198	133	0	37	234	102	162	100	79	94	153	238
ACTA1	6	1	0	3	4	31	1	2	8	5	5	5
ACTA2	513	66	0	282	108	1355	815	942	996	3052	1701	1878
ACTA2-AS1	36	0	0	30	8	25	96	46	53	103	84	136
ACTB	19439	2945	17	10633	9537	13938	6266	11061	11703	19565	17186	12697
ACTBL2	1	1	0	0	2	10	3	1	0	2	1	9
ACTBP1	0	0	0	0	1	0	0	0	2	2	1	0
ACTBP10	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP11	45	9	0	17	27	27	13	9	23	36	22	34
ACTBP12	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP14	0	0	0	0	0	0	2	0	0	0	0	3
ACTBP15	1	0	0	4	0	1	2	0	1	1	1	1
ACTBP2	129	19	0	62	71	90	38	104	104	118	140	73
ACTBP3	0	0	0	0	0	0	0	2	1	7	0	1
ACTBP4	17	1	0	13	7	21	25	7	14	16	21	23
ACTBP6	1	0	0	0	0	0	0	0	0	0	0	0
ACTBP7	1	0	0	0	3	15	1	0	0	2	3	2
ACTBP8	0	0	0	0	0	0	0	1	0	0	0	0
ACTBP9	0	0	0	1	0	1	0	0	0	0	0	1
ACTC1	0	0	0	0	0	0	1	10	8	4	22	5
ACTE1P	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	8425	1305	6	4183	6328	8432	4729	5657	5774	6569	8028	6449
ACTG1P1	5	0	0	3	7	21	17	8	5	11	25	19
ACTG1P10	0	0	0	0	0	0	0	0	0	1	0	0
ACTG1P11	0	1	0	0	0	0	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	6	12	4	6	2	4	8
ACTG1P13	0	0	0	0	0	0	0	0	0	0	0	1
ACTG1P14	17	3	0	9	8	11	22	21	17	10	24	28
ACTG1P15	2	0	0	0	5	1	2	0	0	0	0	1
ACTG1P16	0	0	0	0	1	1	0	0	0	0	0	0
ACTG1P17	3	0	0	4	1	6	14	5	10	4	7	9
ACTG1P18	2	1	0	3	7	0	4	4	1	7	3	1
ACTG1P19	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P20	24	8	0	20	17	19	31	25	15	8	37	17
ACTG1P21	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P22	2	0	0	4	3	2	2	0	0	1	1	3
ACTG1P23	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P24	0	0	0	0	0	2	1	1	1	0	3	2
ACTG1P25	1	0	0	3	6	7	4	0	14	1	2	1
ACTG1P3	11	0	0	15	14	21	24	22	32	14	34	18
ACTG1P4	2	2	0	1	8	11	26	14	4	5	18	9
ACTG1P9	4	0	0	1	2	4	2	3	0	2	3	2
ACTG2	15	3	0	663	4	2495	172	1178	1145	3632	1830	754
ACTL10	69	25	0	48	54	48	45	35	23	45	53	54
ACTL11P	11	1	0	0	4	4	3	3	25	2	5	2
ACTL6A	50	10	0	64	106	76	47	42	54	70	43	45
ACTL6B	0	0	0	4	6	1	0	1	2	3	0	6
ACTL7A	0	0	0	0	0	1	2	1	0	2	4	3
ACTL7B	2	0	0	3	1	0	1	1	0	1	3	0
ACTL8	5	0	0	112	4	0	0	0	0	0	0	0
ACTL9	0	0	0	1	0	0	0	0	0	0	0	2
ACTN1	1518	226	2	1037	597	1849	1322	1480	1466	2243	2415	2476
ACTN1-DT	6	2	1	0	3	0	5	0	0	0	4	9
ACTN2	1	0	0	1	27	43	1	14	8	1	9	4
ACTN3	1	1	0	10	6	6	18	4	9	1	4	1
ACTN4	1232	500	4	1727	2246	2734	1578	1856	2152	2701	2386	2591
ACTN4P1	1	4	0	5	4	14	5	4	0	11	11	2
ACTN4P2	0	0	0	0	0	0	0	0	0	0	0	0
ACTP1	0	1	0	0	0	0	0	0	0	0	0	0
ACTR10	43	15	0	35	52	49	91	45	39	85	79	57
ACTR1A	417	162	3	190	249	298	286	364	453	466	512	373
ACTR1AP1	1	1	0	0	1	1	7	0	0	0	2	5
ACTR1B	393	176	4	406	237	360	347	467	498	383	673	528
ACTR2	644	45	2	283	381	424	348	267	264	492	333	303
ACTR3	267	59	0	175	302	352	209	234	197	445	307	220
ACTR3-AS1	2	0	0	4	4	5	7	18	16	7	11	8
ACTR3B	20	12	0	64	30	92	60	45	48	28	89	61
ACTR3BP1	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP3	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP4	1	0	0	9	0	0	0	3	0	4	1	5
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP7	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	145	180	4	102	387	253	364	205	211	211	267	270
ACTR3P1	2	0	0	0	0	0	0	0	0	0	0	0
ACTR3P2	1	0	0	0	0	0	0	0	0	0	0	0
ACTR3P3	0	0	0	0	0	0	0	0	0	0	0	0
ACTR5	54	8	0	51	41	69	62	21	34	31	71	45
ACTR6	17	3	0	12	20	18	45	16	6	14	8	10
ACTR6P1	0	0	0	0	0	0	0	0	0	0	0	0
ACTR8	115	56	0	87	87	98	188	88	82	96	70	132
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT1P1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	6	2	0	10	3	4	8	3	3	7	1	3
ACVR1	196	75	0	56	73	119	231	95	114	133	116	187
ACVR1B	217	106	0	103	189	199	245	287	327	283	355	291
ACVR1C	12	0	0	4	2	5	53	1	0	3	1	41
ACVR2A	45	20	0	39	38	81	177	102	88	115	89	82
ACVR2B	194	48	3	82	98	211	303	92	94	75	175	216
ACVR2B-AS1	13	11	0	5	4	17	31	7	19	9	11	24
ACVRL1	145	59	0	121	87	131	221	250	225	339	335	460
ACY1	3	3	0	0	3	2	1	0	8	2	4	5
ACY3	10	9	0	5	10	4	4	0	0	3	1	4
ACYP1	12	2	0	8	14	15	26	24	13	9	24	15
ACYP2	50	12	0	71	49	48	66	56	42	53	73	98
ADA	37	8	0	55	65	45	34	28	18	33	42	61
ADA2	502	103	1	309	343	338	180	87	103	110	159	277
ADAD1	0	0	0	1	0	0	0	0	0	0	0	0
ADAD1P1	0	0	0	0	0	0	0	0	0	0	2	0
ADAD1P2	0	0	0	0	4	1	1	3	3	7	2	2
ADAD2	0	0	0	1	1	19	5	21	12	10	20	1
ADAL	7	1	0	19	10	29	32	12	11	27	12	25
ADAM10	241	67	0	94	309	271	506	190	127	300	160	380
ADAM11	0	6	0	30	22	44	44	40	60	25	54	50
ADAM12	913	99	0	235	178	814	1105	80	104	140	148	505
ADAM15	2037	1733	8	888	1009	982	605	1092	1091	887	1745	931
ADAM17	87	38	0	91	106	152	193	106	136	158	147	229
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	320	81	0	265	951	176	104	179	155	239	244	180
ADAM1A	0	0	0	0	0	0	0	0	0	0	0	0
ADAM1B	8	0	0	1	6	38	29	16	15	12	17	19
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	85	46	0	62	98	92	413	94	167	111	168	178
ADAM20P1	7	1	0	5	11	4	45	0	16	7	11	28
ADAM20P2	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P3	0	0	0	0	0	0	0	0	0	0	0	1
ADAM21	2	1	0	4	10	2	20	10	7	4	8	21
ADAM21P1	0	0	0	0	1	3	2	0	4	0	0	3
ADAM22	30	4	0	36	59	84	63	89	81	89	96	90
ADAM23	26	0	0	3	10	37	9	18	17	47	12	26
ADAM24P	1	0	0	0	0	2	0	0	0	0	0	0
ADAM28	72	0	0	68	53	63	62	35	27	37	37	94
ADAM29	1	0	1	0	0	0	7	0	0	0	0	0
ADAM30	0	1	0	0	0	1	0	0	0	0	0	0
ADAM32	5	0	0	0	1	0	5	0	2	2	1	1
ADAM33	149	15	0	251	74	467	1218	1878	1747	1861	2463	1653
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3B	2	0	0	0	2	0	2	0	0	0	1	3
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	1	0	0	3	0	0	0	0	0	0	0
ADAM7-AS1	1	1	0	1	2	2	0	0	1	2	0	1
ADAM7-AS2	0	0	0	0	0	1	0	0	0	0	0	0
ADAM8	298	165	5	297	331	176	106	173	216	113	265	153
ADAM9	333	52	0	114	108	157	165	81	55	208	129	203
ADAMDEC1	8	0	0	22	39	2	2	0	0	0	2	1
ADAMTS1	199	53	0	695	156	359	427	697	825	918	902	3194
ADAMTS10	197	122	1	246	264	443	321	438	556	380	613	552
ADAMTS12	214	70	2	33	120	184	404	111	69	210	144	327
ADAMTS13	95	42	0	97	138	84	165	114	99	97	184	168
ADAMTS14	411	96	0	27	504	333	11	43	41	34	76	21
ADAMTS15	112	35	0	84	84	249	441	303	239	313	489	912
ADAMTS16	61	28	0	20	1	109	36	2	1	2	7	17
ADAMTS16-DT	4	0	0	6	0	22	2	2	0	1	1	2
ADAMTS17	139	36	0	74	163	643	172	134	172	130	231	181
ADAMTS18	3	0	0	3	89	32	39	22	7	9	41	25
ADAMTS19	1	0	0	25	144	91	7	4	10	46	12	3
ADAMTS19-AS1	0	0	0	0	31	7	1	0	0	1	0	0
ADAMTS2	1007	315	7	268	632	896	480	511	311	1019	891	905
ADAMTS20	1	0	0	1	2	0	0	0	3	0	5	0
ADAMTS3	15	0	0	23	18	15	24	18	18	36	41	93
ADAMTS4	525	225	1	448	223	285	55	177	96	280	141	360
ADAMTS5	133	44	0	108	61	274	627	216	208	426	415	639
ADAMTS6	66	3	0	4	26	41	19	33	9	32	23	26
ADAMTS7	155	87	0	69	126	158	93	75	144	131	152	105
ADAMTS7P1	0	5	0	0	0	6	1	2	0	0	5	3
ADAMTS7P3	9	11	0	7	12	18	14	37	26	18	24	13
ADAMTS7P4	0	4	0	1	2	1	5	0	0	3	3	3
ADAMTS8	39	3	0	41	22	48	48	104	118	143	171	69
ADAMTS9	165	16	0	107	99	331	215	285	179	579	472	600
ADAMTS9-AS1	13	1	0	1	4	13	12	10	11	33	33	44
ADAMTS9-AS2	14	1	0	19	4	33	222	37	85	48	64	139
ADAMTSL1	84	20	0	19	98	155	58	83	46	112	119	331
ADAMTSL2	120	99	0	23	847	48	21	17	34	39	36	84
ADAMTSL3	29	2	0	197	19	67	54	33	60	104	63	183
ADAMTSL4	2330	227	0	380	217	479	538	862	1589	582	1004	1682
ADAMTSL4-AS1	118	96	0	63	25	44	138	84	202	29	59	141
ADAMTSL4-AS2	185	3	0	22	7	20	26	35	50	22	37	67
ADAMTSL5	47	18	0	15	17	10	35	129	170	287	184	61
ADAP1	41	22	0	149	64	40	52	32	26	54	115	77
ADAP2	162	37	0	96	114	81	58	77	86	75	79	117
ADAR	1670	287	1	1404	2383	1314	1129	896	816	1270	1179	1364
ADARB1	255	65	0	400	122	276	353	454	425	488	573	552
ADARB2	3	17	0	3	13	9	1	6	13	0	3	7
ADARB2-AS1	0	0	0	3	1	0	0	0	0	1	1	0
ADAT1	116	127	3	121	125	176	163	136	101	142	159	210
ADAT2	39	7	0	96	26	87	80	89	46	102	101	73
ADAT3	50	119	0	81	38	63	40	89	102	40	99	55
ADCK1	56	24	1	35	42	52	58	118	79	50	132	98
ADCK2	171	165	0	140	153	118	99	150	213	126	261	110
ADCK5	96	80	0	267	105	244	78	107	72	73	200	115
ADCY1	55	8	0	65	355	168	166	73	143	180	109	247
ADCY10	10	0	0	2	5	13	15	2	2	2	7	7
