Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
HSPE1P20	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P21	0	0	0	0	1	1	0	0	0	0	0	0
HSPE1P22	0	0	0	0	0	0	1	0	0	0	0	5
HSPE1P23	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P25	6	1	0	1	4	0	1	0	1	3	5	3
HSPE1P26	5	0	0	10	0	4	3	6	1	10	4	9
HSPE1P27	6	47	0	3	3	5	12	4	13	11	2	4
HSPE1P28	0	0	0	1	2	3	1	1	0	5	1	3
HSPE1P3	3	0	0	1	3	3	4	2	0	3	0	8
HSPE1P4	4	0	0	0	3	3	2	1	4	1	2	1
HSPE1P5	5	1	0	1	2	5	4	5	1	2	4	5
HSPE1P6	0	0	0	0	0	0	1	0	0	0	0	1
HSPE1P7	0	0	0	0	0	1	0	0	1	1	0	0
HSPE1P8	3	10	0	9	9	4	11	12	11	15	7	8
HSPE1P9	0	0	0	0	5	0	8	2	0	0	0	0
HSPG2	7203	2278	4	4780	3175	9751	6166	9492	9842	16479	12836	11973
HSPH1	120	80	0	142	160	96	796	113	80	211	239	135
HTATIP2	55	13	0	38	69	48	33	25	47	56	45	36
HTATSF1	75	31	0	65	67	143	92	69	59	103	76	88
HTATSF1P2	20	30	0	42	27	58	66	34	17	23	31	20
HTD2	1	8	0	0	1	2	0	4	0	0	2	0
HTN1	0	0	0	0	0	0	0	0	0	0	0	0
HTN3	0	0	0	0	0	0	0	0	0	0	0	0
HTR1A	0	0	0	0	0	1	0	0	0	0	0	0
HTR1B	0	0	0	0	0	0	0	0	0	0	0	0
HTR1D	6	0	0	0	0	1	1	0	7	0	1	1
HTR1DP1	7	0	0	1	9	8	14	8	11	8	7	15
HTR1E	0	0	0	0	0	0	0	0	0	0	0	0
HTR1F	2	3	0	3	7	3	6	2	3	4	2	14
HTR2A	2	0	0	0	0	10	9	17	29	21	21	10
HTR2A-AS1	0	0	0	0	0	0	0	0	0	1	0	0
HTR2B	11	1	0	13	17	18	24	19	4	29	17	23
HTR2C	0	0	0	0	0	0	2	0	0	0	0	0
HTR3A	1	0	0	3	6	1	0	0	0	1	1	0
HTR3B	0	0	0	2	0	0	1	0	1	0	1	0
HTR3C	0	0	0	0	0	0	3	0	0	0	3	0
